X,Y,id,Country,Province,Prov_code,District_n,Dist_iaa,Pcode_CSO,Dist_code,HASC_code,ID_statoid,Pop2010,Male10,Female10,Source,Shape_Leng,Shape_Area,ISO3V10,shape_le_1,ID_1,Unsdcode,Countryeng,Shape_Le_2,shape_ar_1
2878123.49416461,-1962952.69864239,20,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2888408.66075666,-1934778.83120894,21,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2880421.18643164,-1943810.29262571,22,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2884766.6539772,-1936311.39147069,23,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2871348.94883452,-1939046.58926089,24,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2876338.94609155,-1935322.25945895,25,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2877042.55036044,-1943334.90697827,26,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2872026.38947024,-1949302.97360233,27,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2869368.56972437,-1942733.93576956,28,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2871194.40087727,-1955559.6206953,29,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2858296.38507212,-1950693.72082826,0,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2875022.1571459,-1963948.15733742,1,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2858392.39165362,-1950530.18544061,2,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2874264.49592601,-1962066.36881047,3,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2875014.25608134,-1960674.82817283,4,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2858154.81654032,-1950559.98526277,5,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2875187.36771024,-1959959.05136803,6,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2874789.50919796,-1960129.29718474,7,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2874815.58410629,-1961378.21672106,8,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2857966.44836025,-1950469.35064984,9,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2874323.04679129,-1962060.34892826,10,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2875165.55570277,-1961609.95577348,11,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2874875.49582798,-1960478.11180661,12,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
