"date","mkt_name","price","SAFEX","SAFEX_adj","year","month","date_num","mktyear","frapurchmt","frasalesmt","NETPURCH","BPP","SPP","LUSAKA","CHOMA","MCHINJI","mktshare","msleftpc","aprodpc","exportban","mznetimports","yearmon","travel_hours","distance_km","area_harvested","production","stock_begin","stock_end","supply","consumption","feed","FSI","cropyear","day1rain","maxdays","raincytot","tmean","gdd","heatday","mean_price","cv_price","purchase_quantity","annual_purchase","annual_sales","annual_import","month_share_buy","month_share_sale","mill_dist","count_miller","miller","weighted_fra_sales","frasales_miller","prod_percent","dev_share","long_run_share","pred_national_prod","pred_dev_prod","year_c","nation_avg","dev_price_square","logpurchase"
"2008-10-01","Kasama",587.166666666667,754.883605957031,601.156386456689,2008,10,585,2008,14155.1,0,14155.099609375,121.929809570312,-259.322021484375,1059.32202148438,978.070190429688,1537.13671875,10.8326940536499,36.5793800354004,109.402778625488,1,-184.25016,"Oct 2008",10.1430555555556,854.564,912,1889,201,295,2095,1700,100,1600,"2007",36,40,974.222181390703,24.6727525201245,208,6,551.526761517615,127.248984924687,5252.4,396450.05,167940.29,-161649.48868,0.0576375170957799,0.00514763102303947,273615.72754206,0,0,0,0,1.10881215881407,0.00592913345093858,0.0131350300340778,2094546.16799978,12418.8437492227,"2008",567.176469342818,399.607989046401,8.56663076501857
"2008-11-01","Kasama",645.878048780488,731.45654296875,582.500095049389,2008,11,586,2008,3170.7,442.65,2728.05004882812,-146.820556640625,-328.983032226562,1588.98303222656,1246.82055664062,1556.88598632812,13.5442295074463,35.4670181274414,109.402778625488,1,-869.94964,"Nov 2008",10.1430555555556,854.564,912,1889,201,295,2095,1700,100,1600,"2007",36,40,974.222181390703,24.6727525201245,208,6,551.526761517615,127.248984924687,5252.4,396450.05,167940.29,-161649.48868,0.0383005444222938,0.0800246694454129,273615.72754206,0,0,0,0,1.10881215881407,0.00592913345093858,0.0131350300340778,2094546.16799978,12418.8437492227,"2008",567.176469342818,6193.93860598382,8.56663076501857
"2008-12-01","Kasama",792.682926829268,820.854675292969,654.700100274781,2008,12,587,2008,0,22938.6,-22938.599609375,-46.9298095703125,-117.11865234375,1377.11865234375,1146.92980957031,1988.40393066406,14.1516056060791,35.2178535461426,109.402778625488,1,57.69644,"Dec 2008",10.1430555555556,854.564,912,1889,201,295,2095,1700,100,1600,"2007",36,40,974.222181390703,24.6727525201245,208,6,551.526761517615,127.248984924687,5252.4,396450.05,167940.29,-161649.48868,0.0241633367143041,0.170687431294754,273615.72754206,0,0,0,0,1.10881215881407,0.00592913345093858,0.0131350300340778,2094546.16799978,12418.8437492227,"2008",567.176469342818,50853.1623680879,8.56663076501857
"2003-01-01","Kasempa",1111.1,820.118286132812,820.118286132812,2003,1,516,2002,9298.55,0,9298.5498046875,-313.867553710938,-408.888916015625,1388.88891601562,1113.86755371094,1105.07666015625,9.06374549865723,11.800745010376,85.7412033081055,1,18353.694,"Jan 2003",9.37861111111111,468.571,630,1213,86,102,1302,1050,50,1000,"2002",35,41,781.968121811063,26.3924353883412,201,12,763.891666666667,276.379460683819,732.65,13002.25,21368.65,141314.725,0.0111563570672315,0.188095457564663,172032.033609503,0,0,0,0,2.2628254490199,-0.00421017869373545,0.0100012358043146,2744807.26966114,-11556.1290851375,"2003",734.538020833333,141798.924153917,6.59803207565348
"2003-02-01","Kasempa",1111.1,650.479675292969,651.194139173715,2003,2,517,2002,789.9,0,789.900024414062,-290.712036132812,-116.4912109375,1096.4912109375,1090.71203613281,1168.15295410156,15.5456771850586,10.9595890045166,85.7412033081055,1,27458.227,"Feb 2003",9.37861111111111,468.571,630,1213,86,102,1302,1050,50,1000,"2002",35,41,781.968121811063,26.3924353883412,201,12,763.891666666667,276.379460683819,732.65,13002.25,21368.65,141314.725,0.00102618790908165,0.243890536556651,172032.033609503,0,0,0,0,2.2628254490199,-0.00421017869373545,0.0100012358043146,2744807.26966114,-11556.1290851375,"2003",734.538020833333,141798.924153917,6.59803207565348
"2003-03-01","Kasempa",1111.1,575.011535644531,572.290660888119,2003,3,518,2002,223.2,0,223.199996948242,-63.8434448242188,-160.350830078125,1140.35083007812,863.843444824219,1157.48266601562,16.0963077545166,10.8881340026855,85.7412033081055,1,22255.716,"Mar 2003",9.37861111111111,468.571,630,1213,86,102,1302,1050,50,1000,"2002",35,41,781.968121811063,26.3924353883412,201,12,763.891666666667,276.379460683819,732.65,13002.25,21368.65,141314.725,0.000200906659808482,0.244740732616785,172032.033609503,0,0,0,0,2.2628254490199,-0.00421017869373545,0.0100012358043146,2744807.26966114,-11556.1290851375,"2003",734.538020833333,141798.924153917,6.59803207565348
"2003-04-01","Kasempa",1000,530.881469726562,527.154181815424,2003,4,519,2002,221.05,0,221.050003051758,-18.7702026367188,-84.98046875,1064.98046875,818.770202636719,839.183471679688,16.2518997192383,10.8679428100586,85.7412033081055,1,24451.098,"Apr 2003",9.37861111111111,468.571,630,1213,86,102,1302,1050,50,1000,"2002",35,41,781.968121811063,26.3924353883412,201,12,763.891666666667,276.379460683819,732.65,13002.25,21368.65,141314.725,0.000196985660459814,0.0241549095344685,172032.033609503,0,0,0,0,2.2628254490199,-0.00421017869373545,0.0100012358043146,2744807.26966114,-11556.1290851375,"2003",734.538020833333,70470.0623830838,6.59803207565348
"2003-05-01","Kasempa",1000,585.229309082031,581.120448152851,2003,5,520,2003,0,14366.7,-14366.7001953125,122.334350585938,580.877197265625,649.122802734375,477.665649414062,591.293273925781,0,23.0802211761475,120.80770111084,1,19846.205,"May 2003",9.37861111111111,468.571,630,1213,86,102,1302,1050,50,1000,"2002",35,41,781.968121811063,26.3924353883412,201,12,763.891666666667,276.379460683819,732.65,13002.25,21368.65,141314.725,0,0.0400225850449162,172032.033609503,0,0,0,0,2.2628254490199,-0.00421017869373545,0.0100012358043146,2744807.26966114,-11556.1290851375,"2003",734.538020833333,70470.0623830838,6.59803207565348
"2003-06-01","Kasempa",666.7,575.993835449219,572.990229513248,2003,6,521,2003,0,0,0,140.935668945312,703.684204101562,526.315795898438,459.064331054688,445.228454589844,0,23.0802211761475,120.80770111084,1,6005.141,"Jun 2003",9.37861111111111,468.571,630,1213,86,102,1302,1050,50,1000,"2002",35,41,781.968121811063,26.3924353883412,201,12,763.891666666667,276.379460683819,732.65,13002.25,21368.65,141314.725,0.0212692827396094,0.00126235495194455,172032.033609503,0,0,0,0,2.2628254490199,-0.00421017869373545,0.0100012358043146,2744807.26966114,-11556.1290851375,"2003",734.538020833333,4601.99707058376,6.59803207565348
"2003-07-01","Kasempa",666.7,559.537780761719,559.469577742591,2003,7,522,2003,3022.3,0,3022.30004882812,134.722229003906,721.22802734375,508.771942138672,465.277770996094,469.985900878906,0,23.0802211761475,120.80770111084,1,1086.145,"Jul 2003",9.37861111111111,468.571,630,1213,86,102,1302,1050,50,1000,"2002",35,41,781.968121811063,26.3924353883412,201,12,763.891666666667,276.379460683819,732.65,13002.25,21368.65,141314.725,0.190250408385449,6.75359899290332e-05,172032.033609503,0,0,0,0,2.2628254490199,-0.00421017869373545,0.0100012358043146,2744807.26966114,-11556.1290851375,"2003",734.538020833333,4601.99707058376,6.59803207565348
