date,value
12/22/2016,0.7035
12/21/2016,0.7037
12/20/2016,0.6963
12/19/2016,0.7027
12/15/2016,0.7053
12/14/2016,0.7246
12/13/2016,0.7239
12/12/2016,0.71
12/9/2016,0.7153
12/8/2016,0.7289
12/7/2016,0.7233
12/6/2016,0.7164
12/5/2016,0.7098
12/2/2016,0.698
12/1/2016,0.7052
11/30/2016,0.7061
11/29/2016,0.7148
11/28/2016,0.7137
11/25/2016,0.7013
11/24/2016,0.6911
11/23/2016,0.6969
11/22/2016,0.6938
11/21/2016,0.6809
11/18/2016,0.6815
11/17/2016,0.6946
11/16/2016,0.6912
11/15/2016,0.6933
11/14/2016,0.678
11/11/2016,0.6918
11/10/2016,0.7365
11/9/2016,0.7271
11/8/2016,0.7162
11/7/2016,0.724
11/4/2016,0.7264
11/3/2016,0.7291
11/2/2016,0.7341
11/1/2016,0.7132
10/31/2016,0.7141
10/28/2016,0.7049
10/27/2016,0.6976
10/26/2016,0.7164
10/25/2016,0.7114
10/24/2016,0.7132
10/21/2016,0.6968
10/20/2016,0.7047
10/19/2016,0.7129
10/18/2016,0.7035
10/17/2016,0.6881
10/14/2016,0.6964
10/13/2016,0.6912
10/12/2016,0.6903
10/11/2016,0.7019
10/10/2016,0.7111
10/7/2016,0.7166
10/6/2016,0.7125
10/5/2016,0.7186
10/4/2016,0.7322
10/3/2016,0.7364
9/30/2016,0.7088
9/29/2016,0.7174
9/28/2016,0.7281
9/27/2016,0.7306
9/26/2016,0.7338
9/23/2016,0.7392
9/22/2016,0.7467
9/21/2016,0.7192
9/20/2016,0.7145
9/19/2016,0.7218
9/16/2016,0.712
9/15/2016,0.6904
9/14/2016,0.6986
9/13/2016,0.7025
9/12/2016,0.6963
9/9/2016,0.7162
9/8/2016,0.7318
9/7/2016,0.7212
9/6/2016,0.6884
9/5/2016,0.6748
9/2/2016,0.6655
9/1/2016,0.6571
8/31/2016,0.6586
8/30/2016,0.6626
8/29/2016,0.6744
8/26/2016,0.7002
8/25/2016,0.707
8/24/2016,0.7064
8/23/2016,0.7347
8/22/2016,0.7196
8/19/2016,0.7349
8/18/2016,0.7473
8/17/2016,0.7513
8/16/2016,0.7586
8/15/2016,0.7846
8/12/2016,0.79
8/11/2016,0.7849
8/10/2016,0.7786
8/8/2016,0.7306
8/5/2016,0.7274
8/4/2016,0.7294
8/2/2016,0.7362
8/1/2016,0.7463
7/29/2016,0.7225
7/28/2016,0.7197
7/27/2016,0.7005
7/26/2016,0.6783
7/25/2016,0.6644
7/22/2016,0.6498
7/21/2016,0.6624
7/20/2016,0.6814
7/19/2016,0.6854
7/18/2016,0.6961
7/15/2016,0.7073
7/14/2016,0.7017
7/13/2016,0.7291
7/12/2016,0.735
7/11/2016,0.7026
7/8/2016,0.6807
7/7/2016,0.6575
7/6/2016,0.6388
7/5/2016,0.6444
7/4/2016,0.6542
7/1/2016,0.664
6/30/2016,0.671
6/29/2016,0.6923
6/28/2016,0.7061
6/27/2016,0.7133
6/24/2016,0.7322
6/23/2016,0.7526
6/22/2016,0.7476
6/21/2016,0.7471
6/20/2016,0.7352
6/17/2016,0.7205
6/15/2016,0.7082
6/14/2016,0.7047
6/13/2016,0.7127
6/10/2016,0.7205
6/9/2016,0.7206
6/8/2016,0.715
6/7/2016,0.7101
6/6/2016,0.6999
6/3/2016,0.6766
6/2/2016,0.673
6/1/2016,0.6708
5/31/2016,0.6604
5/30/2016,0.6588
5/27/2016,0.6676
5/26/2016,0.6622
5/25/2016,0.6583
5/24/2016,0.6509
5/23/2016,0.6608
5/20/2016,0.6477
5/19/2016,0.6393
5/18/2016,0.6391
5/17/2016,0.6489
5/16/2016,0.6513
5/13/2016,0.6616
5/12/2016,0.6656
5/11/2016,0.6507
5/10/2016,0.6517
5/9/2016,0.658
5/6/2016,0.6499
5/5/2016,0.6517
5/4/2016,0.6537
5/3/2016,0.6729
4/29/2016,0.6734
4/28/2016,0.6658
4/26/2016,0.6504
4/25/2016,0.6493
4/22/2016,0.6533
4/21/2016,0.6535
4/20/2016,0.6513
4/19/2016,0.6409
4/18/2016,0.6271
4/15/2016,0.633
4/14/2016,0.6257
4/13/2016,0.637
4/12/2016,0.665
4/11/2016,0.6618
4/8/2016,0.6538
4/7/2016,0.6879
4/6/2016,0.7023
4/5/2016,0.7267
4/4/2016,0.7424
4/1/2016,0.7391
3/31/2016,0.7479
3/30/2016,0.7494
3/29/2016,0.7295
3/24/2016,0.7361
3/23/2016,0.7433
3/22/2016,0.7419
3/18/2016,0.7436
3/17/2016,0.7228
3/16/2016,0.7098
3/15/2016,0.7279
3/14/2016,0.7433
3/11/2016,0.7471
3/10/2016,0.7503
3/9/2016,0.7367
3/8/2016,0.739
3/7/2016,0.7423
3/4/2016,0.7274
3/3/2016,0.7285
3/2/2016,0.7269
3/1/2016,0.7257
2/29/2016,0.7044
2/26/2016,0.7325
2/25/2016,0.7279
2/24/2016,0.7464
2/23/2016,0.7466
2/22/2016,0.7393
2/19/2016,0.7364
2/18/2016,0.7333
2/17/2016,0.7174
2/16/2016,0.721
2/15/2016,0.7181
2/12/2016,0.719
2/11/2016,0.7099
2/10/2016,0.7115
2/9/2016,0.6976
2/8/2016,0.7071
2/5/2016,0.7106
2/4/2016,0.7049
2/3/2016,0.6953
2/2/2016,0.706
2/1/2016,0.7056
1/29/2016,0.6995
1/28/2016,0.6891
1/27/2016,0.6848
1/26/2016,0.6777
1/25/2016,0.6806
1/22/2016,0.6812
1/21/2016,0.6676
1/20/2016,0.663
1/19/2016,0.6737
1/18/2016,0.6655
1/15/2016,0.669
1/14/2016,0.666
1/13/2016,0.6716
1/12/2016,0.6557
1/11/2016,0.6641
1/8/2016,0.6877
1/7/2016,0.6855
1/6/2016,0.6979
1/5/2016,0.7047
1/4/2016,0.7027
12/31/2015,0.7069
12/30/2015,0.7151
12/29/2015,0.7174
12/28/2015,0.7171
12/24/2015,0.7217
12/23/2015,0.7226
12/22/2015,0.7263
12/21/2015,0.7289
12/18/2015,0.7211
12/17/2015,0.7314
12/15/2015,0.7274
12/14/2015,0.7248
12/11/2015,0.711
12/10/2015,0.7278
12/9/2015,0.7479
12/8/2015,0.7437
12/7/2015,0.7407
12/4/2015,0.7389
12/3/2015,0.7228
12/2/2015,0.7256
12/1/2015,0.7188
11/30/2015,0.7167
11/27/2015,0.7128
11/26/2015,0.8096
11/25/2015,0.8297
11/24/2015,0.8278
11/23/2015,0.8458
11/20/2015,0.848
11/19/2015,0.7974
11/18/2015,0.8526
11/17/2015,0.8787
11/16/2015,0.8564
11/13/2015,0.8159
11/12/2015,0.9003
11/11/2015,0.9751
11/10/2015,0.9992
11/9/2015,0.9412
11/6/2015,0.9327
11/5/2015,0.9179
11/4/2015,0.9103
11/3/2015,0.9106
11/2/2015,0.9102
10/30/2015,0.9105
10/29/2015,0.911
10/28/2015,0.9071
10/27/2015,0.8878
10/26/2015,0.8828
10/23/2015,0.9073
10/22/2015,0.8997
10/21/2015,0.9032
10/20/2015,0.9166
10/19/2015,0.9293
10/16/2015,0.8864
10/15/2015,0.8865
10/14/2015,0.8671
10/13/2015,0.8688
10/12/2015,0.8825
10/9/2015,0.8815
10/8/2015,0.8768
10/7/2015,0.8901
10/6/2015,0.8991
10/5/2015,0.9059
10/2/2015,0.8664
10/1/2015,0.8264
9/30/2015,0.8846
9/29/2015,0.887
9/28/2015,0.8046
9/25/2015,0.7902
9/23/2015,0.7602
9/22/2015,0.7424
9/21/2015,0.7497
9/18/2015,0.7584
9/17/2015,0.7477
9/16/2015,0.7403
9/15/2015,0.7382
9/14/2015,0.7258
9/11/2015,0.721
9/10/2015,0.7158
9/9/2015,0.7259
9/8/2015,0.715
9/7/2015,0.7313
9/4/2015,0.728
9/3/2015,0.7234
9/2/2015,0.6984
9/1/2015,0.6749
8/31/2015,0.6465
8/28/2015,0.6518
8/27/2015,0.6491
8/26/2015,0.6465
8/25/2015,0.6478
8/24/2015,0.6418
8/21/2015,0.6344
8/20/2015,0.6201
8/19/2015,0.6202
8/18/2015,0.617
8/17/2015,0.6151
8/14/2015,0.6134
8/13/2015,0.614
8/12/2015,0.6092
8/11/2015,0.6165
8/7/2015,0.6168
8/6/2015,0.6145
8/5/2015,0.617
8/4/2015,0.6214
8/3/2015,0.6024
7/31/2015,0.6017
7/30/2015,0.6045
7/29/2015,0.6091
7/28/2015,0.6079
7/27/2015,0.6091
7/24/2015,0.5991
7/23/2015,0.6158
7/22/2015,0.6227
7/21/2015,0.6012
7/20/2015,0.6164
7/17/2015,0.6224
7/16/2015,0.6325
7/15/2015,0.6364
7/14/2015,0.6298
7/13/2015,0.6282
7/10/2015,0.6263
7/9/2015,0.622
7/8/2015,0.6111
7/7/2015,0.6067
7/6/2015,0.611
7/3/2015,0.614
7/2/2015,0.6123
7/1/2015,0.6172
6/30/2015,0.6119
6/29/2015,0.6094
6/26/2015,0.6073
6/25/2015,0.6067
6/24/2015,0.6057
6/23/2015,0.6075
6/22/2015,0.6093
6/19/2015,0.6058
6/18/2015,0.6104
6/17/2015,0.596
6/15/2015,0.5909
6/12/2015,0.5882
6/11/2015,0.5861
6/10/2015,0.5871
