"DIST","prod","year"
"Mansa",508,2003
"Masaiti",4591,2003
"Mazabuka",6022,2003
"Mbala",7141,2003
"Milenge",1899,2003
"Mkushi",237250,2003
"Mongu",1424,2003
"Monze",3718,2003
"Mpika",1653.2,2003
"Mpongwe",9491,2003
"Mporokoso",794,2003
"Mpulungu",490,2003
"Mufulira",730,2003
"Mufumbwe",930.25,2003
"Mumbwa",422150,2003
"Mungwi",60228.22,2003
"Mwense",848.5,2003
"Mwinilunga",1503,2003
"Nakonde",1084,2003
"Namwala",5351,2003
"Nchelenge",523,2003
"Nyimba",1772,2003
"Petauke",9764,2003
"Samfya",352,2003
"Senanga",836,2003
"Serenje",164169,2003
"Sesheke",1413,2003
"Shangombo",60394,2003
"Siavonga",158,2003
"Sinazongwe",312,2003
"Solwezi",5136.2,2003
"Zambezi",649,2003
"Chadiza",101619.5,2004
"Chama",48938.3,2004
"Chavuma",14246,2004
"Chibombo",310067.26,2004
"Chienge",76136.4,2004
"Chililabombwe",98596,2004
"Chilubi",8180,2004
"Chingola",10773,2004
"Chinsali",84210.46,2004
"Chipata",358893.5,2004
"Choma",228454.4,2004
"Chongwe",193481.26,2004
"Gwembe",9681,2004
"Isoka",108413,2004
"Itezhi_tezhi",37589.6,2004
"Kabompo",57726.2,2004
"Kabwe Urban",6939.035,2004
"Kafue",116503.46,2004
"Kalabo",19507.44,2004
"Kalomo",246898.6,2004
"Kalulushi",62700,2004
"Kaoma",119795,2004
"Kapiri mposhi",244076.82,2004
"Kaputa",29262,2004
"Kasama",100996.2,2004
"Kasempa",37566.8,2004
"Katete",175059.35,2004
"Kawambwa",40044,2004
"Kazungula",30618.6,2004
"Kitwe",78187,2004
"Livingstone",7029,2004
"Luangwa",16001.7,2004
"Luanshya",74883,2004
"Lufwanyama",81691.2,2004
"Lukulu",31112.8,2004
"Lundazi",306790.9,2004
"Lusaka",15226.48,2004
"Luwingu",45768,2004
"Mambwe",18921.78,2004
"Mansa",55920.39,2004
"Masaiti",117918.65,2004
"Mazabuka",110326.3,2004
"Mbala",184868.95,2004
"Milenge",18252.8,2004
"Mkushi",84723.4,2004
"Mongu",32248.6,2004
"Monze",168924.9,2004
"Mpika",99616.94,2004
"Mpongwe",398367,2004
"Mporokoso",40763.6,2004
"Mpulungu",21718.2,2004
"Mufulira",37427,2004
"Mufumbwe",61360.9,2004
"Mumbwa",147010.8,2004
"Mungwi",55036.6,2004
"Mwense",16725.4,2004
"Mwinilunga",120186.1,2004
"Nakonde",57755,2004
"Namwala",107231.6,2004
"Nchelenge",28544,2004
"Ndola Urban",116578.9,2004
"Nyimba",58436.3,2004
"Petauke",256902.2,2004
"Samfya",72300.05,2004
"Senanga",13571.2,2004
"Serenje",204077.58,2004
"Sesheke",18020.4,2004
"Shangombo",9700.52,2004
"Siavonga",1968.4,2004
"Sinazongwe",3390.84,2004
"Solwezi",160830.08,2004
"Zambezi",27708,2004
"Chadiza",3200,2005
"Chama",1300,2005
"Chibombo",520,2005
"Chienge",6325,2005
"Chililabombwe",24620,2005
"Chilubi",600,2005
"Chingola",9100,2005
"Chinsali",750,2005
"Chipata",9640,2005
"Choma",9990,2005
"Chongwe",6700,2005
"Gwembe",4340,2005
"Isoka",32210,2005
"Itezhi_tezhi",450,2005
"Kabompo",2175,2005
"Kafue",3350,2005
"Kalabo",2400,2005
"Kalomo",2250,2005
"Kalulushi",24400,2005
"Kaoma",12250,2005
"Kapiri mposhi",26550,2005
"Kaputa",11425,2005
"Kasama",16465,2005
"Kasempa",390,2005
"Katete",6725,2005
"Kawambwa",6210,2005
"Kazungula",250,2005
"Kitwe",7900,2005
"Luangwa",350,2005
"Luanshya",5400,2005
"Lufwanyama",10325,2005
"Lukulu",1030,2005
"Lundazi",11440,2005
"Lusaka",550,2005
"Luwingu",1120,2005
"Mansa",7435,2005
"Masaiti",11590,2005
"Mbala",36110,2005
"Milenge",1125,2005
"Mkushi",2450,2005
"Mongu",555,2005
"Monze",1400,2005
"Mpika",22380,2005
"Mpongwe",25750,2005
"Mporokoso",5970,2005
"Mpulungu",6360,2005
"Mufulira",7550,2005
"Mufumbwe",2550,2005
"Mumbwa",1100,2005
"Mungwi",15310,2005
"Mwense",5049,2005
"Nakonde",5510,2005
"Namwala",16500,2005
"Nchelenge",6800,2005
"Ndola Urban",5020,2005
"Nyimba",2650,2005
"Petauke",22600,2005
"Samfya",4000,2005
"Senanga",7975,2005
"Serenje",38900,2005
"Sesheke",15370,2005
"Shangombo",2330,2005
"Sinazongwe",3590,2005
"Solwezi",46815,2005
"Zambezi",1850,2005
"Chadiza",595857,2006
"Chama",94272.125,2006
"Chavuma",33853,2006
"Chibombo",789455.5,2006
"Chienge",32910,2006
"Chililabombwe",397536.5,2006
"Chilubi",6957.5,2006
"Chingola",134861,2006
"Chinsali",173707,2006
"Chipata",930825,2006
"Choma",734000.5,2006
"Chongwe",595810,2006
"Gwembe",230377.5,2006
"Isoka",212848.25,2006
"Itezhi_tezhi",192307,2006
"Kabompo",99959.25,2006
"Kabwe urban",517832.5,2006
"Kafue",427281.5,2006
"Kalabo",103253.5,2006
"Kalomo",1096856.5,2006
"Kalulushi",376071.5,2006
"Kaoma",214691,2006
"Kapiri Mposhi",1330052.5,2006
"Kaputa",50851.5,2006
"Kasama",252536,2006
"Kasempa",350081,2006
"Katete",522681.75,2006
"Kawambwa",157654,2006
"Kazungula",480189.25,2006
"Kitwe",77555,2006
"Livingstone",78487,2006
"Luangwa",56993,2006
"Luanshya",184015.75,2006
"Lufwanyama",285167.5,2006
"Lukulu",76351.5,2006
"Lundazi",695676.5,2006
"Lusaka urban",101603,2006
"Luwingu",73672.5,2006
"Mambwe",125529.525,2006
"Mansa",168377,2006
"Masaiti",395641.5,2006
"Mazabuka",661827,2006
"Mbala",471585.5,2006
"Milenge",38855.5,2006
"Mkushi",333994.5,2006
"Mongu",73319.25,2006
"Monze",695446.25,2006
"Mpika",293414.5,2006
"Mpongwe",551469,2006
"Mporokoso",187811,2006
"mpulungu",104248,2006
"Mufulira",169473,2006
"Mufumbwe",226580.75,2006
"Mumbwa",888080,2006
"Mungwi",83722.5,2006
"Mwense",40250.375,2006
"Mwinilunga",81998.5,2006
"Nakonde",246035,2006
"Namwala",531395,2006
"Nchelenge",67962.5,2006
"Ndola urban",338103,2006
"Nyimba",266461,2006
"Petauke",1052878.875,2006
"Saivonga",47959.5,2006
"Samfya",58120,2006
"Senanga",139003.25,2006
"Serenje",320617.25,2006
"Sesheke",145167,2006
"Shangombo",146869.25,2006
"Sinazongwe",120966,2006
"Solwezi",450878.75,2006
"Zambezi",84382,2006
"Chadiza",455814,2007
"Chama",116085.75,2007
"Chavuma",49565.5,2007
"Chibombo",362987.35,2007
"Chienge",78690.5,2007
"Chililabombwe",432199,2007
"Chilubi",8983.5,2007
"Chingola",208640,2007
"Chinsali",144495.5,2007
"Chipata",965986.75,2007
"Choma",179437.25,2007
"Chongwe",331503.75,2007
"Gwembe",64500.5,2007
"Isoka",291203.5,2007
"Itezhi_tezhi",134183.5,2007
"Kabompo",129779.5,2007
"Kabwe urban",717878.06,2007
"Kafue",274711.5,2007
"Kalabo",42846.25,2007
